JokeyAdi,KosuAdet,derece1,derece2,derece3,derece4,derece5,derece1yuzde,derece2yuzde,derece3yuzde,derece4yuzde,derece5yuzde
OĞUZ EREN,2732,205,232,221,238,274,8,8,8,9,10
DOĞUKAN SAV,2006,149,191,186,199,194,7,10,9,10,10
SERMET ALTINDAĞ,1190,120,116,104,83,105,10,10,9,7,9
DOĞUKAN AYDOĞAN,1428,116,113,129,133,112,8,8,9,9,8
DOĞAN KILIÇ,1091,99,91,94,97,107,9,8,9,9,10
ÖMER ELĞAÇ (Y2)&nbsp;,689,89,67,56,62,70,13,10,8,9,10
NAZIM ÇANAKÇIOĞLU (Y2)&nbsp;,1026,87,85,82,89,99,8,8,8,9,10
BURAK KOÇOĞULLARI (Y1)&nbsp;,1074,79,75,81,99,116,7,7,8,9,11
ZİYA USTAOĞLU,1331,73,100,144,132,155,5,8,11,10,12
TANJU YAĞIZ,1060,66,95,117,117,101,6,9,11,11,10
HAKAN BAŞOĞLU,970,57,83,80,98,105,6,9,8,10,11
ZEKİ AYDOĞDİ,1060,54,84,112,120,109,5,8,11,11,10
OKTAY ÖZAKDAĞ,1054,51,78,107,115,99,5,7,10,11,9
MAHMUT BAĞ (Y1)&nbsp;,1006,51,77,70,83,77,5,8,7,8,8
ENİS EMRE DOĞRU (Y1)&nbsp;,778,45,56,46,72,78,6,7,6,9,10
AHMET ÖZYİĞİT (Y1)&nbsp;,319,38,36,38,37,22,12,11,12,12,7
UĞUR LEVENT (Y1)&nbsp;,715,25,27,42,48,43,3,4,6,7,6
EKREM PAPAĞAN,358,24,28,28,47,74,7,8,8,13,21
FEHMİ DİZDAROĞLU,662,24,26,29,47,46,4,4,4,7,7
ÇAĞLAR TAŞCI (Y1)&nbsp;,677,22,42,40,45,70,3,6,6,7,10
ONUR (CİMŞİT OĞLU) YILDIZ (Y1)&nbsp;,417,20,31,20,37,47,5,7,5,9,11
MURAT AKDAĞ (Y1)&nbsp;,739,16,32,34,47,66,2,4,5,6,9
UĞUR KULAK (Y1)&nbsp;,587,14,39,45,35,55,2,7,8,6,9
NEVZAT AKOĞUL,484,13,30,37,47,66,3,6,8,10,14
DOĞAN ALCEYLAN (Y1)&nbsp;,452,11,21,21,36,38,2,5,5,8,8
GÖKTUĞ GÜLMEZ (Y1)&nbsp;,204,10,8,7,11,16,5,4,3,5,8
UĞUR İRTİŞ (Y1)&nbsp;,459,7,10,18,19,28,2,2,4,4,6
MURAT AYDOĞDİ (Y1)&nbsp;,133,6,8,7,9,6,5,6,5,7,5
MAHMUT TURAN,6326,532,586,651,688,621,8,9,10,11,10
MUHİTTİN KORKMAZ,4701,442,509,469,497,459,9,11,10,11,10
MAHMUT ÜNLÜ,4807,414,427,473,466,463,9,9,10,10,10
HALİL KAPLAN,4168,386,390,414,431,478,9,9,10,10,11
MEHMET KESKİN,5383,363,396,422,475,598,7,7,8,9,11
HÜSEYİN ŞİMŞEK,4781,313,339,382,421,485,7,7,8,9,10
ORHAN SEZİK,4235,277,319,341,376,426,7,8,8,9,10
AHMET TAŞ,3299,273,277,285,289,242,8,8,9,9,7
AHMET OLUK,3159,265,297,295,288,278,8,9,9,9,9
MAHSUN TURAN,2470,251,240,238,248,234,10,10,10,10,9
NEJDET ALTIN (Y1)&nbsp;,750,43,57,44,45,45,6,8,6,6,6
JOEY BROWN,80,4,5,11,5,9,5,6,14,6,11
JAMES DOYLE,6,3,0,1,0,0,50,0,17,0,0
NEJDET ÖZDEMİR,58,3,6,6,6,14,5,10,10,10,24
JOHN REID,4,2,0,0,1,1,50,0,0,25,25
JEAN BAPTISTE HAMEL,6,2,1,3,0,0,33,17,50,0,0
NEJDET TUNALI,1,1,0,0,0,0,100,0,0,0,0
TJARDA V.D.BROEK HUMPHREY,2,1,0,0,0,0,50,0,0,0,0
SILJA STOREN,2,1,0,0,1,0,50,0,0,50,0
ESZTER JELES,2,1,0,0,0,0,50,0,0,0,0
JIMMY QUINN,3,1,0,1,0,0,33,0,33,0,0
PATRICK JOSEPH SMULLEN,3,1,0,0,0,0,33,0,0,0,0
JEAN MICHEL BREUX,4,1,1,0,0,0,25,25,0,0,0
PIERE JOHAN STRYDOM,4,1,1,0,1,0,25,25,0,25,0
JAMES GRAHAM,4,1,0,1,0,2,25,0,25,0,50
KAREN DIELTJENS,4,1,0,0,0,1,25,0,0,0,25
JOSEPHINE CHINI,6,1,1,1,1,1,17,17,17,17,17
JAMIE SPENCER,7,1,0,1,1,2,14,0,14,14,29
PALL KALLAJ,7,1,0,0,0,1,14,0,0,0,14
JEAN BERNARD EYQUEM,7,1,1,2,1,0,14,14,29,14,0
J.P.LOPEZ,8,1,2,1,0,1,12,25,12,0,12
